Bigram,Frequency
"('solideo', 'villagedesathltes')",2
"('villagedesathltes', 'villageolympique')",2
"('villageolympique', 'reportage')",2
"('action', 'devant')",2
"('olympique', 'militant')",2
"('militant', 'demandent')",2
"('demandent', 'la')",2
"('la', 'rquisition')",2
"('rquisition', 'sociale')",2
"('sociale', 'du')",2
"('olympique', 'pour')",2
"('le', 'sans')",2
"('aki', 'pris')",2
"('davance', 'sur')",2
"('delhi', 'teamindia')",2
"('part', 'australian')",2
"('committee', 'war')",2
"('war', 'cry')",2
"('cry', 'allez')",2
"('allez', 'au')",2
"('au', 'meaning')",2
"('meaning', 'go')",2
"('australia', 'ausolympicteam')",2
"('men', 'speedveddriq')",2
"('speedveddriq', 'leonardo')",2
"('leonardo', 'inawu')",2
"('inawu', 'peng')",2
"('peng', 'chnsam')",2
"('chnsam', 'watson')",2
"('watson', 'usacongratulations')",2
"('issfriooqc', 'roadtoparis2024')",2
"('usacongratulations', 'medalistsparis2024')",2
"('pistol', 'issfriooqc')",2
"('championship', 'rifle')",2
"('olympics', 'le')",2
"('nbcolympics', 'nbcnews')",2
"('nbcnews', 'exclusive')",2
"('exclusive', 'keirsimmons')",2
"('keirsimmons', 'share')",2
"('australian', 'olympic')",2
"('take', 'part')",2
"('la', 'closingceremony')",2
"('fukuoka2023', 'take')",2
"('closingceremony', 'attendant')",2
"('le', 'vrai')",2
"('vrai', 'passage')",2
"('passage', 'tokyo2020')",2
"('sur', 'dans')",2
"('heures', 'tokyo2020')",2
"('tokyo2020', 'olympics')",2
"('olympics', 'ending')",2
"('ending', 'today')",2
"('paris2024', 'akihoshide')",2
"('akihoshide', 'held')",2
"('held', 'ceremony')",2
"('year', '👥')",2
"('ireland', 'year')",2
"('go', 'opening')",2
"('🎮', 'dolphin')",2
"('dolphin', 'zac')",2
"('zac', 'stubbletycook')",2
"('stubbletycook', 'madi')",2
"('madi', 'wilson')",2
"('wilson', 'took')",2
"('took', 'time')",2
"('time', 'fukuoka2023')",2
"('dbut', 'nous')",2
"('april', 'delhi')",2
"('message', 'following')",2
"('olympicsdairybeef', 'charolais')",2
"('paris2024', 'dcouvrir')",2
"('dcouvrir', 'ensemble')",2
"('ensemble', 'partir')",2
"('partir', 'sur')",2
"('final', 'go')",2
"('go', 'imane')",2
"('imane', 'khelifjust')",2
"('khelifjust', 'look')",2
"('look', 'meansolympics2024')",2
"('meansolympics2024', 'paris2024')",2
"('jamaica', 'jaydon')",2
"('jaydon', 'hibbert')",2
"('hibbert', 'secured')",2
"('spot', 'men')",2
"('men', 'triple')",2
"('🎮', 'placing')",2
"('placing', 'third')",2
"('third', 'group')",2
"('group', 'b')",2
"('b', 'qualified')",2
"('qualified', 'jump')",2
"('jump', 'taylor2ndglnrsportsparisexpressolympics2024')",2
"('thai', 'edition')",2
"('il', 'du')",2
"('paris2024', 'olympicsdairybeef')",2
"('much', 'know')",2
"('camp', 'paris2024')",2
"('following', 'withdrawal')",2
"('surtout', 'cest')",2
"('et', 'surtout')",2
"('camp', 'et')",2
"('son', 'camp')",2
"('contre', 'son')",2
"('tire', 'contre')",2
"('annehidalgo', 'tire')",2
"('olympiques', 'annehidalgo')",2
"('seront', 'pa')",2
"('ne', 'seront')",2
"('transport', 'ne')",2
"('affirmant', 'que')",2
"('en', 'affirmant')",2
"('woman', 'free')",2
"('alternate', 'spot')",2
"('final', 'alternate')",2
"('clinch', 'final')",2
"('second', 'clinch')",2
"('withdrawal', 'woman')",2
"('👥', 'lapon')",2
"('lapon', 'training')",2
"('training', 'camp')",2
"('edition', 'much')",2
"('olympics', 'postpopquiz')",2
"('trial', 'april')",2
"('swimoff', 'drama')",2
"('date', 'result')",2
"('result', '👥')",2
"('👥', 'athletesparis2024')",2
"('athletesparis2024', 'paris2024')",2
"('paris2024', 'lindseyvonnexperience')",2
"('lindseyvonnexperience', 'olympics')",2
"('olympics', 'never')",2
"('list', 'number')",2
"('number', 'shooter')",2
"('shooter', 'qualified')",2
"('paris2024', 'country')",2
"('country', 'china')",2
"('china', 'top')",2
"('top', 'india')",2
"('second', 'quota')",2
"('quota', 'chance')",2
"('chance', 'pistol')",2
"('pistol', 'shotgun')",2
"('shotgun', 'indian')",2
"('indian', 'rifle')",2
"('pistol', 'oly')",2
"('oly', 'set')",2
"('set', 'trial')",2
"('stay', 'date')",2
"('drama', 'connolly')",2
"('postpopquiz', 'olympics')",2
"('connolly', 'edge')",2
"('roadtoparis2024', 'popquiz')",2
"('popquiz', 'sport')",2
"('sport', 'badminton')",2
"('badminton', 'boxing')",2
"('boxing', 'skiing')",2
"('skiing', 'skateboard')",2
"('skateboard', 'weightlifting')",2
"('weightlifting', 'thailand')",2
"('thailand', 'thai')",2
"('fun', 'olympic')",2
"('mascot', 'summer')",2
"('summer', 'downloading')",2
"('downloading', 'official')",2
"('olympics', 'appits')",2
"('appits', 'best')",2
"('best', 'way')",2
"('way', 'find')",2
"('find', 'schedule')",2
"('schedule', 'olympics')",2
"('olympics', 'stay')",2
"('deloof', 'second')",2
"('catie', 'deloof')",2
"('edge', 'catie')",2
"('dans', 'pour')",2
"('paris2024', 'exceptionnels')",2
"('jeux', 'vivant')",2
"('son', 'passage')",2
"('pr', 'la')",2
"('la', 'coursebradery')",2
"('coursebradery', 'beau')",2
"('symbole', 'aussi')",2
"('aussi', 'dune')",2
"('dune', 'course')",2
"('aux', 'bnvoles')",2
"('bnvoles', 'organisateurs')",2
"('organisateurs', 'aux')",2
"('aux', 'maires')",2
"('maires', 'du')",2
"('du', 'gd')",2
"('gd', 'boulevard')",2
"('lima2017', 'la')",2
"('jeunesse', 'un')",2
"('un', 'soutient')",2
"('vnement', 'jeunesse')",2
"('jeunesse', 'au')",2
"('cur', 'roadtolima')",2
"('venezpartager', 'education')",2
"('education', 'legacy')",2
"('j7', 'est')",2
"('est', 'prtet')",2
"('succs', 'pr')",2
"('tellement', 'fait')",2
"('dj', 'lima')",2
"('passage', 'sur')",2
"('incroyable', 'aventure')",2
"('aventure', 'vous')",2
"('vous', 'aurez')",2
"('aurez', 'inspir')",2
"('inspir', 'port')",2
"('port', 'partag')",2
"('partag', 'paris2024')",2
"('paris2024s', 'medalsare')",2
"('medalsare', 'madeforsharing')",2
"('la', 'prend')",2
"('prend', 'forme')",2
"('forme', 'avant')",2
"('lima', 'cest')",2
"('cest', 'dabord')",2
"('dabord', 'grce')",2
"('grce', 'eux')",2
"('athltes', 'ce')",2
"('tmoins', 'paris2024')",2
"('ce', '👑')",2
"('seine', 'tmoins')",2
"('👑', 'qui')",2
"('qui', 'auront')",2
"('auront', 'tellement')",2
"('prtet', 'dj')",2
"('lima', 'l')",2
"('du', 'dbut')",2
"('monde', 'activit')",2
"('congrats', 'teddy')",2
"('teddy', 'proud')",2
"('athlete', 'committee')",2
"('tous', 'go')",2
"('go', 'weve')",2
"('avezvous', 'profit')",2
"('profit', 'dt')",2
"('couleurs', 'vous')",2
"('vous', 'accueille')",2
"('accueille', 'mon')",2
"('mon', 'tage')",2
"('tage', 'jusquau')",2
"('jusquau', 'toureiffel')",2
"('enjoyed', 'paris2024')",2
"('paris2024', 'terrace')",2
"('terrace', 'summer')",2
"('summer', 'started')",2
"('started', 'welcome')",2
"('welcome', 'floor')",2
"('floor', 'september')",2
"('september', 'eiffeltower')",2
"('65th', 'anniversary')",2
"('anniversary', 'award')",2
"('activit', 'congrats')",2
"('judoka', 'du')",2
"('l', 'un')",2
"('meilleur', 'judoka')",2
"('un', 'aefe')",2
"('aefe', 'montrent')",2
"('montrent', 'que')",2
"('paris2024', 'rayonne')",2
"('rayonne', 'dans')",2
"('entier', 'avec')",2
"('avec', 'sa')",2
"('sa', 'jeunesse')",2
"('jeunesse', 'venezpartager')",2
"('jove', 'thats')",2
"('thats', 'call')",2
"('call', 'swimsuit')",2
"('swimsuit', 'gallicabnf')",2
"('gallicabnf', 'paris1910')",2
"('paris1910', 'swimming')",2
"('swimming', 'natation')",2
"('natation', 'swimmer')",2
"('swimmer', 'swimsuit')",2
"('swimsuit', 'sporthistory')",2
"('sporthistory', 'paris2024')",2
"('bravo', 'teddyriner')",2
"('teddyriner', 'award')",2
"('award', 'du')",2
"('dbut', 'incroyable')",2
"('le', 'amis')",2
"('international', 'judo')",2
"('generation2024', 'pleine')",2
"('action', 'aflimaoficial')",2
"('aflimaoficial', 'une')",2
"('journe', 'place')",2
"('place', 'sou')",2
"('signe', 'du')",2
"('direct', 'aflimaoficial')",2
"('aflimaoficial', 'la')",2
"('generation2024', 'pour')",2
"('paris2024', 'nestce')",2
"('pa', 'gatienjp')",2
"('venezpartager', 'roadtolima')",2
"('ce', 'husky')",2
"('husky', 'moi')",2
"('moi', 'quand')",2
"('le', 'rveil')",2
"('rveil', 'va')",2
"('va', 'sonner')",2
"('sonner', 'se')",2
"('retrouve', 'd')",2
"('d', 'sur')",2
"('sur', 'lci')",2
"('lci', 'bonne')",2
"('bonne', 'nuit')",2
"('pleine', 'action')",2
"('de', 'crmonie')",2
"('fcmpsg', 'paris2024')",2
"('vengo', 'recordar')",2
"('paris2024', 'collique')",2
"('collique', 'roadtolima')",2
"('quun', 'jour')",2
"('jour', 'onedaytogo')",2
"('onedaytogo', 'paris2024')",2
"('paris2024', 'j2')",2
"('j2', 'partir')",2
"('partir', 'venez')",2
"('venez', 'rencontrez')",2
"('rencontrez', 'le')",2
"('sportifs', 'et')",2
"('et', 'dcouvrir')",2
"('sport', 'olympiques')",2
"('j4', 'pour')",2
"('ce', 'parcourus')",2
"('parcourus', 'sur')",2
"('venezpartager', 'du')",2
"('con', 'aos')",2
"('comaneci', 'con')",2
"('hizo', 'nadia')",2
"('que', 'hizo')",2
"('recordar', 'lo')",2
"('aflimaoficial', 'paris2024')",2
"('nuit', 'fcmpsg')",2
"('paris2024', 'eurobasket2017')",2
"('🏆', 'tokyo2020')",2
"('wednesday', 'paris2024')",2
"('comme', 'coachdupraz')",2
"('coachdupraz', 'soutenez')",2
"('septembre', 'au')",2
"('au', 'soir')",2
"('en', 'nousmerci')",2
"('nousmerci', 'aflimaoficial')",2
"('aflimaoficial', 'pour')",2
"('accueil', 'muchas')",2
"('gracias', 'paris2024')",2
"('jours', 'dcision')",2
"('cio', 'toulouse')",2
"('accueillir', 'football')",2
"('football', 'au')",2
"('au', 'stadium')",2
"('compartiendo', 'el')",2
"('el', 'espiritu')",2
"('espiritu', 'paris2024')",2
"('paris2024', 'aflimaoficial')",2
"('september', 'year')",2
"('year', 'back')",2
"('back', 'south')",2
"('south', 'ioc')",2
"('session', '🏆')",2
"('avec', 'lquipe')",2
"('next', 'wednesday')",2
"('paris2024', 'jonathan')",2
"('sticker', 'next')",2
"('jonathan', 'delaplace')",2
"('delaplace', 'et')",2
"('et', 'julien')",2
"('julien', 'feret')",2
"('feret', 'joueurs')",2
"('joueurs', 'du')",2
"('du', 'smcaen')",2
"('smcaen', 'soutiennent')",2
"('soutiennent', 'depuis')",2
"('ligne', 'droitecant')",2
"('droitecant', 'wait')",2
"('paris2024', 'limaonarrive')",2
"('limaonarrive', 'readyfor24')",2
"('seen', 'yesterday')",2
"('yesterday', 'evening')",2
"('evening', 'shop')",2
"('shop', 'front')",2
"('front', 'window')",2
"('window', 'paris')",2
"('paris', 'address')",2
"('address', 'deliver')",2
"('deliver', 'updated')",2
"('updated', 'sticker')",2
"('award', 'international')",2
"('judo', 'federation')",2
"('rich', 'motion')",2
"('obrouzet', 'ohasan')",2
"('promoviendo', 'el')",2
"('el', 'deporte')",2
"('deporte', 'paris2024')",2
"('la', 'programmation')",2
"('programmation', 'du')",2
"('olympique', 'seinesaintdenis')",2
"('seinesaintdenis', 'apr')",2
"('lamour', 'nest')",2
"('pa', 'millsime')",2
"('millsime', 'est')",2
"('est', 'toujours')",2
"('toujours', 'prsente')",2
"('prsente', 'et')",2
"('et', 'est')",2
"('est', 'faite')",2
"('faite', 'pour')",2
"('tre', 'partage')",2
"('partage', 'paris2012')",2
"('paris2012', 'paris2024')",2
"('toile', 'montante')",2
"('basketball', 'delegation')",2
"('en', 'ceremoniedouverture')",2
"('noys', 'en')",2
"('yjauzion', 'promoviendo')",2
"('campeones', 'obrouzet')",2
"('aux', 'algriens')",2
"('con', 'campeones')",2
"('wrestlingparis2017', 'readyfor24')",2
"('le', 'mayer')",2
"('mayer', 'est')",2
"('est', 'venirlondon2017')",2
"('venirlondon2017', 'paris2024')",2
"('paris2024', 'mayer')",2
"('trail', 'familial')",2
"('familial', 'corse')",2
"('corse', 'pour')",2
"('soutenir', 'vergnenicolas')",2
"('vergnenicolas', 'le')",2
"('le', 'planteur')",2
"('planteur', 'darbres')",2
"('darbres', 'fou')",2
"('fou', 'h2024paris2024')",2
"('j30', 'parce')",2
"('ce', 'rve')",2
"('rassemble', 'sharing')",2
"('gagnonsensemble', 'generation2024')",2
"('generation2024', 'cc')",2
"('cc', 'dominiquemahe')",2
"('deportivo', 'talleres')",2
"('talleres', 'con')",2
"('algriens', 'noys')",2
"('hommage', 'aux')",2
"('delegation', 'departs')",2
"('paris2024', 'illuminati')",2
"('fleurs', 'dans')",2
"('paris2024', 'sustainable')",2
"('jet', 'fleurs')",2
"('sustainable', '🎮')",2
"('first', 'aligned')",2
"('aligned', 'accorddeparis')",2
"('🎮', 'future')",2
"('athlete', 'france')",2
"('france', 'generation24')",2
"('generation24', 'readyfor24')",2
"('philippe', 'starck')",2
"('starck', 'disea')",2
"('disea', 'la')",2
"('para', 'sharing')",2
"('sharing', 'hecha')",2
"('hecha', 'para')",2
"('para', 'compartirparis2024')",2
"('merci', 'judrem')",2
"('judrem', 'soutient')",2
"('paris2024', 'baby')",2
"('baby', 'still')",2
"('still', 'going')",2
"('going', 'still')",2
"('readytoshare', 'paris2024')",2
"('glendamorejn', 'pars2024')",2
"('douverture', 'hommage')",2
"('bienvenida', 'glendamorejn')",2
"('lors', 'crmonie')",2
"('seine', 'lors')",2
"('montante', 'du')",2
"('sport', 'francais')",2
"('francais', 'ambassadrice')",2
"('paris2024', 'koumbalaroque')",2
"('koumbalaroque', 'est')",2
"('est', 'lavenir')",2
"('lavenir', 'lattraction')",2
"('lattraction', 'paris')",2
"('dossier', 'spcial')",2
"('paris2024', 'lemonde')",2
"('lemonde', 'pa')",2
"('pa', 'encore')",2
"('encore', 'lu')",2
"('conclusin', 'un')",2
"('un', 'ao')",2
"('ao', 'con')",2
"('con', 'inmensos')",2
"('inmensos', 'jugadores')",2
"('jugadores', 'ohasan')",2
"('yjauzion', 'promueven')",2
"('promueven', 'paris2024')",2
"('paris2024', 'wrestlingparis2017')",2
"('vnement', 'en')",2
"('federation', 'budapest')",2
"('learning', 'major')",2
"('🌎', 'thanks')",2
"('thanks', 'congrats')",2
"('congrats', 'intjudofed')",2
"('judoworlds2017', 'judobudapest2017')",2
"('judobudapest2017', 'paris2024')",2
"('le', 'club')",2
"('le', 'performance')",2
"('performance', 'athltes')",2
"('athltes', 'fr')",2
"('fr', 'marquent')",2
"('marquent', 'le')",2
"('le', 'esprit')",2
"('esprit', 'donne')",2
"('donne', 'une')",2
"('une', 'super')",2
"('super', 'image')",2
"('image', 'france')",2
"('bravo', 'fflutte')",2
"('fflutte', 'wrestling')",2
"('wrestling', 'pour')",2
"('ce', 'magnifiques')",2
"('magnifiques', 'mondiaux')",2
"('mondiaux', 'accorharena')",2
"('major', 'event')",2
"('perche', 'franceolympique')",2
"('congrats', 'great')",2
"('jfbures', 'perche')",2
"('budapest', 'opera')",2
"('opera', 'paris2024')",2
"('place', 'thanks')",2
"('thanks', 'intjudofed')",2
"('paris2024', 'dorian')",2
"('dorian', 'mortelette')",2
"('mortelette', 'rameur')",2
"('rameur', 'avironfrance')",2
"('avironfrance', 'soutient')",2
"('bravo', 'mdaille')",2
"('le', 'rmois')",2
"('rmois', 'du')",2
"('du', 'dac')",2
"('dac', 'franois')",2
"('franois', 'barrer')",2
"('barrer', 'sur')",2
"('sur', 'aux')",2
"('aux', 'universiadetaipei2017')",2
"('universiadetaipei2017', 'universiade')",2
"('universiade', 'reims')",2
"('reims', 'paris2024')",2
"('prt', 'roadtolima')",2
"('readyfor24', 'jfbures')",2
"('accorharena', 'congrats')",2
"('great', 'show')",2
"('venezpartager', 'grand')",2
"('garrido', 'dsigne')",2
"('porte', 'drapeau')",2
"('drapeau', 'aux')",2
"('paris2024', 'trouveunmetiergarrido')",2
"('cest', 'dcid')",2
"('dcid', 'je')",2
"('je', 'postule')",2
"('postule', 'pour')",2
"('paris2024', 'herothehedgehog')",2
"('herothehedgehog', 'london2017')",2
"('getreadyfor', 'track')",2
"('cycling', 'iconic')",2
"('iconic', 'champselysees')",2
"('departs', 'paris2024')",2
"('🎮', 'blending')",2
"('blending', 'beauty')",2
"('beauty', 'sport')",2
"('apres', 'le')",2
"('le', '📈')",2
"('📈', 'confirm')",2
"('confirm', 'tendance')",2
"('tendance', 'paris2024')",2
"('avant', 'parislutte2017')",2
"('accorharena', 'venezpartager')",2
"('dsigne', 'porte')",2
"('par', 'la')",2
"('show', 'readyfor24')",2
"('raquel', 'garrido')",2
"('concertation', 'lancement')",2
"('lancement', 'consultation')",2
"('consultation', 'pour')",2
"('partager', 'paris2024')",2
"('paris2024', 'engager')",2
"('engager', 'la')",2
"('civile', 'pour')",2
"('projet', 'utile')",2
"('venezpartager', 'leurobasket2017')",2
"('leurobasket2017', 'frabasketball')",2
"('frabasketball', 'paris2024')",2
"('vous', 'frafin')",2
"('frafin', 'teamfrancebasket')",2
"('rio2016', 'unique')",2
"('unique', 'test')",2
"('test', 'olympique')",2
"('jeux', 'comme')",2
"('comme', 'dirigeant')",2
"('dirigeant', 'la')",2
"('la', 'promotion')",2
"('promotion', 'linternational')",2
"('linternational', 'dj')",2
"('dj', 'dcisive')",2
"('motion', 'le')",2
"('aos', 'por')",2
"('vivant', 'atil')",2
"('brasileiro', 'em')",2
"('dconvenues', 'candidature')",2
"('jo', 'qui')",2
"('permis', 'capitale')",2
"('capitale', 'franaise')",2
"('franaise', 'dapprendre')",2
"('peleteiro', 'rtve')",2
"('ana', 'peleteiro')",2
"('dapprendre', 'checs')",2
"('checs', 'paris2024')",2
"('rgion', 'sengage')",2
"('sengage', 'paris2024')",2
"('paris2024', 'savoir')",2
"('paris2024', 'marseille2024')",2
"('marseille2024', 'readyfor24')",2
"('venezpartager', 'h5')",2
"('x', 'paris2024')",2
"('le', 'rseaux')",2
"('cest', 'lima')",2
"('readyfor24', 'athlete')",2
"('indfectible', 'soutien')",2
"('candidature', 'attend')",2
"('attend', 'avec')",2
"('impatience', 'lannonce')",2
"('ce', 'dconvenues')",2
"('tnis', 'brasileiro')",2
"('historique', 'du')",2
"('pelo', 'tnis')",2
"('paris2024', 'dcouvrezla')",2
"('exclusivite', 'mondiale')",2
"('mondiale', 'le')",2
"('prsentation', 'parfaitement')",2
"('parfaitement', 'anglophones')",2
"('anglophones', 'vincent')",2
"('vincent', 'denis')",2
"('franaise', 'thtre')",2
"('thtre', 'national')",2
"('national', 'paris2024')",2
"('villes', 'organisatrices')",2
"('organisatrices', 'se')",2
"('se', 'frottent')",2
"('frottent', 'le')",2
"('le', 'main')",2
"('dday', 'paris2024')",2
"('fizemos', 'histria')",2
"('histria', 'nosso')",2
"('nosso', 'muito')",2
"('obrigado', 'todos')",2
"('todos', 'que')",2
"('que', 'torceram')",2
"('torceram', 'pelo')",2
"('lannonce', 'historique')",2
"('serum', 'un')",2
"('vido', 'diffuse')",2
"('confronter', 'paris2024')",2
"('firstplace', 'trophy')",2
"('double', 'firstplace')",2
"('take', 'double')",2
"('trew', 'take')",2
"('jin', 'paris2024')",2
"('journe', 'historique')",2
"('cio', 'dsignera')",2
"('dsignera', 'la')",2
"('btsbighit', 'jin')",2
"('closer', 'btsbighit')",2
"('closer', 'closer')",2
"('la', 'villes')",2
"('villes', 'hte')",2
"('hte', 'est')",2
"('prte', 'toulouse')",2
"('est', 's')",2
"('s', 'ct')",2
"('ct', 'paris2024')",2
"('lima', 'decision')",2
"('decision', 'paris2024')",2
"('paris2024', 'journeehistorique')",2
"('journeehistorique', 'readyfor24')",2
"('readyfor24', 'que')",2
"('avec', 'pour')",2
"('olympique', 'confronter')",2
"('un', 'gouffre')",2
"('la', 'discipline')",2
"('gouffre', 'financier')",2
"('olympicqualifierseries', 'roadtoparis2024')",2
"('financier', 'comme')",2
"('paris', 'olympicqualifierseries')",2
"('achieve', '🥇')",2
"('event', 'achieve')",2
"('sr', 'le')",2
"('series', 'event')",2
"('crushing', 'olympic')",2
"('favourite', 'crushing')",2
"('paris2024', 'favourite')",2
"('head', 'paris2024')",2
"('shanghaishe', 'head')",2
"('budapest', 'shanghaishe')",2
"('trophy', 'budapest')",2
"('le', 'intrts')",2
"('intrts', 'privs')",2
"('privs', 'eux')",2
"('eux', 'se')",2
"('se', 'gaveront')",2
"('le', 'dpassement')",2
"('dpassement', 'budgtaire')",2
"('budgtaire', 'la')",2
"('diffuse', 'lima')",2
"('enregistr', 'une')",2
"('jms', 'athlete')",2
"('lima2017', 'readyfor24')",2
"('ssd93', 'inseinesaintdenis')",2
"('inseinesaintdenis', 'paris2024')",2
"('message', 'demmanuelmacron')",2
"('demmanuelmacron', 'au')",2
"('cio', 'lci')",2
"('prsentation', 'candidature')",2
"('candidature', 'diffus')",2
"('lannonce', 'je')",2
"('je', 'atrs')",2
"('atrs', 'intressantalors')",2
"('intressantalors', 'maintenantau')",2
"('maintenantau', 'boulot')",2
"('second', 'clip')",2
"('prsentation', 'diffus')",2
"('le', 'triple')",2
"('olympique', 'coprsident')",2
"('coprsident', 'tony')",2
"('estanguet', 'prononc')",2
"('prononc', 'son')",2
"('discours', 'lima')",2
"('moins', 'anouslesjeux')",2
"('mucho', 'poder')",2
"('con', 'mucho')",2
"('venezpartager', 'gnration2024')",2
"('cio', 'lima2017')",2
"('corriente', 'fascista')",2
"('film', 'cio')",2
"('atil', 'belle')",2
"('belle', 'nouvelle')",2
"('nouvelle', 'pour')",2
"('amoureux', 'sport')",2
"('sport', 'que')",2
"('apr', 'cest')",2
"('preuves', 'gymnastique')",2
"('gymnastique', 'artistique')",2
"('artistique', 'le')",2
"('paris2024', 'toutes')",2
"('toutes', 'chance')",2
"('chance', 'en')",2
"('en', 'cyclisme')",2
"('paralympiques', 'en')",2
"('la', 'carr')",2
"('carr', 'pour')",2
"('pour', 'philaposte')",2
"('direct', 'prsent')",2
"('prsent', 'le')",2
"('atouts', 'candidature')",2
"('paris2024', 'rgion')",2
"('iledefrance', 'pour')",2
"('le', 'film')",2
"('fascista', 'con')",2
"('una', 'corriente')",2
"('macron', 'enregistr')",2
"('dfendent', 'leurs')",2
"('projets', 'leurs')",2
"('leurs', 'atouts')",2
"('atouts', 'encore')",2
"('encore', 'quelques')",2
"('avant', 'lofficialisation')",2
"('yes', 'le')",2
"('fiers', 'de')",2
"('de', 'preuves')",2
"('preuves', 'hauteur')",2
"('hauteur', 'madeforsharing')",2
"('prsentation', 'anne')",2
"('anne', 'travail')",2
"('travail', 'place')",2
"('place', 'lmotion')",2
"('lmotion', 'pour')",2
"('teddyriner', 'monstre')",2
"('monstre', 'sacr')",2
"('sacr', 'du')",2
"('sport', 'alliant')",2
"('alliant', 'simplicit')",2
"('simplicit', 'bonne')",2
"('bonne', 'humeur')",2
"('humeur', 'le')",2
"('leurs', 'projets')",2
"('losangeles2028', 'dfendent')",2
"('hay', 'una')",2
"('candidate', 'paris2024')",2
"('rtve', 'hay')",2
"('paris2024', 'lenjeu')",2
"('lenjeu', 'est')",2
"('partenaires', 'ne')",2
"('ne', 'financent')",2
"('financent', 'pa')",2
"('jop', 'au')",2
"('au', 'dtriment')",2
"('dtriment', 'du')",2
"('amateur', 'ledefrance')",2
"('ledefrance', 'donnera')",2
"('donnera', 'lexemple')",2
"('le', 'audition')",2
"('audition', 'paris2024')",2
"('message', 'dfendre')",2
"('dfendre', 'candidature')",2
"('sign', 'case')",2
"('j', 'que')",2
"('iocsession', 'lima')",2
"('preuves', 'natation')",2
"('natation', 'le')",2
"('deux', 'villes')",2
"('villes', 'candidate')",2
"('que', 'jms')",2
"('athlete', 'adreamcometrue')",2
"('partage', 'rich')",2
"('someone', 'explain')",2
"('parisolympics', 'london2012')",2
"('london2012', 'olympics')",2
"('olympics', 'french')",2
"('french', 'adlibs')",2
"('adlibs', 'spicy')",2
"('bid', 'logo')",2
"('logo', 'unveiled')",2
"('absolument', 'pour')",2
"('french', 'annoucers')",2
"('annoucers', 'english')",2
"('english', 'parisolympics')",2
"('parisolympics', 'dogshite')",2
"('yoyoha', '👥')",2
"('👥', 'smallest')",2
"('procurer', 'absolument')",2
"('se', 'procurer')",2
"('chaussures', 'se')",2
"('paire', 'chaussures')",2
"('la', 'paire')",2
"('today', 'nbc')",2
"('ceremony', 'today')",2
"('paris2024', 'opening')",2
"('smallest', 'amount')",2
"('explain', 'parisolympics')",2
"('ipdcomunicacion', 'lima')",2
"('bread', 'left')",2
"('teddyriner', 'ipdcomunicacion')",2
"('whole', 'paris2024')",2
"('👥', 'including')",2
"('including', 'especially')",2
"('especially', 'back')",2
"('back', 'paris')",2
"('big', 'day')",2
"('baseball', 'olympicsparisolympics')",2
"('prcommande', 'jo2024')",2
"('dj', 'prcommande')",2
"('day', 'long')",2
"('long', 'awesome')",2
"('est', 'dj')",2
"('spciale', 'jo')",2
"('awesome', 'ride')",2
"('limite', 'spciale')",2
"('la', 'limite')",2
"('boutique', 'la')",2
"('grandes', 'boutique')",2
"('le', 'grandes')",2
"('top', 'dans')",2
"('hockey', 'bjp4india')",2
"('bjp4india', 'bjp4delhi')",2
"('worldchampion', 'teddyriner')",2
"('amount', 'bread')",2
"('left', 'fully')",2
"('et', 'playdagogie')",2
"('dentro', 'da')",2
"('ready', 'usa')",2
"('da', 'paris2024')",2
"('le', 'dernires')",2
"('dernires', 'paris2024')",2
"('historique', 'ici')",2
"('ici', 'lima')",2
"('lima', 'dans')",2
"('france', 'hour')",2
"('go', 'ioc')",2
"('dlgation', 'se')",2
"('se', 'rend')",2
"('james', 'get')",2
"('rend', 'dans')",2
"('un', 'bidonville')",2
"('ceremoniadeapertura', 'paris2024')",2
"('conoce', 'ceremoniadeapertura')",2
"('joven', 'conoce')",2
"('muy', 'joven')",2
"('alguien', 'muy')",2
"('si', 'alguien')",2
"('por', 'si')",2
"('bidonville', 'au')",2
"('prou', 'bfmsport')",2
"('bearer', 'duty')",2
"('readyfor24', 'jo2024')",2
"('fully', 'consumed')",2
"('cyclisme', 'paris2024')",2
"('consumed', 'get')",2
"('get', 'second')",2
"('second', 'reduction')",2
"('reduction', 'time')",2
"('prsent', 'lima')",2
"('pour', 'rappeler')",2
"('rappeler', 'tous')",2
"('tous', 'limportance')",2
"('limportance', 'pour')",2
"('seinesaintdenis', 's')",2
"('s', 'habitant')",2
"('habitant', 'paris2024')",2
"('day', 'leftparis2024')",2
"('lima', 'tous')",2
"('j1', 'versailles')",2
"('versailles', 'et')",2
"('sqy', 'sont')",2
"('accueillir', 'lquitation')",2
"('lquitation', 'le')",2
"('le', 'pentathlon')",2
"('pentathlon', 'moderne')",2
"('duty', 'watch')",2
"('moderne', 'le')",2
"('set', 'whole')",2
"('sportives', 'et')",2
"('franaise', 'est')",2
"('receive', 'unusual')",2
"('unusual', 'perk')",2
"('perk', '🏅')",2
"('🏅', 'effort')",2
"('effort', 'parisolympics')",2
"('ptusha', 'vineshphogat')",2
"('dernier', 'oral')",2
"('oral', 'ce')",2
"('paris2024', 'envoie')",2
"('envoie', 'un')",2
"('ce', 'meilleurs')",2
"('ruin', 'woman')",2
"('meilleurs', 'reprsentants')",2
"('reprsentants', 'la')",2
"('trying', 'ruin')",2
"('la', 'confiance')",2
"('confiance', 'est')",2
"('est', 'vraiment')",2
